Location,T2M,T2MWET,TS,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS50M,WS50M_MAX,WS50M_MIN
Punarbas_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Taranga_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Odaaltaal_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
Dharapani I_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Lekhfarsa_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Gahara_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Sema_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Bhoor_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Kalika_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Karari Park_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Dhangad Gaun_mean,24.88668688,18.00719119,24.40335206,31.04435046,19.72661411,48.77412193,2.921781679,96.21693393,2.419915736,4.037486116,0.938850303,3.234559847,4.874054899,1.265657836
piladi_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Matela_mean,20.18997319,14.35283817,19.45189978,26.16062177,15.33980338,53.5409467,3.075923396,88.71711459,2.38390233,4.328944781,0.824476859,2.870139802,4.485130546,1.088030642
Purtimkanda_mean,14.95048324,10.03299649,14.28077944,21.08542483,10.08809192,57.69772231,3.021934248,80.7631082,2.510844558,4.840745611,0.834572614,2.766857964,4.586235557,1.060296202
Belauri_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Baisi Bichawa_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
Dhangadhi funcity_mean,25.51544781,18.54273731,25.16482732,32.18583275,19.92547079,49.14297734,3.025219279,98.14952761,2.54971082,4.156047239,1.038079157,3.738808171,5.706024258,1.494674114
